assessment_species,dfo_area,old_spp_regions_2021,stock_clean,type,species,region,notes
,,sablefish_BC,Sablefish BC,Cod allies,Sablefish,HBLL outside surveys,delete this one
shortspine thornyhead,BC,shortspine_thornyhead_BC,Shortspine Thornyhead BC,Rockfish,Shortspine Thornyhead,Coast-wide trawl surveys,
silvergray,BC,silvergray_BC,Silvergray Rockfish BC,Rockfish,Silvergray Rockfish,Coast-wide trawl surveys,
walleye-pollock,BC North,walleye_pollock_BC_North,Walleye Pollock BC N,Cod,Walleye Pollock,HS & WCHG,
walleye-pollock,BC South,walleye_pollock_BC_South,Walleye Pollock BC S,Cod,Walleye Pollock,QCS & WCVI,
widow-rockfish,BC,widow_rockfish_BC,Widow Rockfish BC,Rockfish,Widow Rockfish,Coast-wide trawl surveys,
yelloweye,4B,yelloweye_4B,Yelloweye Rockfish 4B,Rockfish,Yelloweye Rockfish,HBLL inside surveys,
yellowmouth,BC,yellowmouth_BC,Yellowmouth Rockfish BC,Rockfish,Yellowmouth Rockfish,Coast-wide trawl surveys,
yellowtail,BC,yellowtail_BC,Yellowtail Rockfish BC,Rockfish,Yellowtail Rockfish,Coast-wide trawl surveys,
quillback,BC Outside,quillback_BC_Outside,Quillback BC Outside,Rockfish,Quillback Rockfish,HBLL outside surveys,
,,copper_rockfish_BC,Copper Rockfish BC,Rockfish,Copper Rockfish,HBLL outside surveys,
,,darkblotched_rockfish_BC,Darkblotched rockfish BC,Rockfish,Darkblotched rockfish,Coast-wide trawl surveys,
,,longspine_thornyhead_BC,Longspine thornyhead BC,Rockfish,Longspine thornyhead,WCHG only,
,,greenstriped_rockfish_BC,Greenstriped Rockfish BC,Rockfish,Greenstriped Rockfish,Coast-wide trawl surveys,
,,flathead_sole_BC,Flathead Sole BC,Flatfish,Flathead Sole,Coast-wide trawl surveys,
,,Kelp_Greenling_BC,Kelp Greenling BC,Greenling,Kelp Greenling,Coast-wide trawl surveys,
,,Kelp_Greenling_BC,Kelp Greenling BC,Greenling,Kelp Greenling,HBLL outside surveys,
,,Sandpaper_Skate_BC,Sandpaper Skate BC,Skate,Sandpaper Skate,Coast-wide trawl surveys,
,,Sharpchin_Rockfish_BC,Sharpchin Rockfish BC,Rockfish,Sharpchin Rockfish,Coast-wide trawl surveys,
,,Splitnose_Rockfish_BC,Splitnose Rockfish BC,Rockfish,Splitnose Rockfish,Coast-wide trawl surveys,
,,Butter_Sole_BC,Butter Sole BC,Sole,Butter Sole,Both odd year trawl surveys,
,,yelloweye_BC,Yelloweye Rockfish BC Outside,Rockfish,Yelloweye Rockfish,HBLL outside surveys,
,,dogfish_BC,North Pacific Spiny Dogfish BC,Sharks,North Pacific Spiny Dogfish,Coast-wide trawl surveys,
,,dogfish_BC,North Pacific Spiny Dogfish BC,Sharks,North Pacific Spiny Dogfish,HBLL outside surveys,
,,dogfish_4B,North Pacific Spiny Dogfish 4B,Sharks,North Pacific Spiny Dogfish,HBLL inside surveys,
,,,Big Skate Synoptic trawl,Skate,Big Skate,Coast-wide trawl surveys,
,,,Big Skate HBLL (outside),Skate,Big Skate,HBLL outside surveys,
,,,Big Skate 4B,Skate,Big Skate,HBLL inside surveys,
,,,Longnose Skate Synoptic trawl,Skate,Longnose Skate,Coast-wide trawl surveys,
,,,Longnose Skate HBLL (outside),Skate,Longnose Skate,HBLL outside surveys,
,,,Longnose Skate 4B,Skate,Longnose Skate,HBLL inside surveys,
,,,Lingcod Synoptic trawl,Roundfish,Lingcod,Coast-wide trawl surveys,
,,,Lingcod HBLL (outside),Roundfish,Lingcod,HBLL outside surveys,
,,,Spotted Ratfish BC,Chimera,Spotted Ratfish,Coast-wide trawl surveys,
,,,Petrale Sole BC,Flatfish,Petrale Sole,Coast-wide trawl surveys,
,,,Rex Sole BC,Flatfish,Rex Sole,Coast-wide trawl surveys,
,,,Dover Sole BC,Flatfish,Dover Sole,Coast-wide trawl surveys,
,,,English Sole BC,Flatfish,English Sole,Coast-wide trawl surveys,
,,,Shortraker Rockfish BC,Rockfish,Shortraker Rockfish,Coast-wide trawl surveys,
